name,description
Troyer syndrome,"Hereditary spastic paraplegia (HSP) is a group of inherited diseases whose main feature is a progressive gait disorder. The disease presents with progressive stiffness (spasticity)  and contraction in the lower limbs. HSP is also known as hereditary spastic paraparesis, familial spastic paraplegia, French settlement disease, Strumpell disease, or Strumpell-Lorrain disease."
VACTERL association,"The VACTERL association (also VATER association, and less accurately VACTERL syndrome) refers to a recognized group of birth defects which tend to co-occur (see below). This pattern is a recognized association, as opposed to a syndrome, because there is no known pathogenetic cause to explain the grouped incidence.
Each child with this condition can be unique."
WAGR syndrome,"WAGR syndrome (also known as WAGR complex, Wilms tumour-aniridia syndrome, aniridia-Wilms tumour syndrome) is a rare genetic syndrome in which affected children are predisposed to develop Wilms' tumour (a tumour of the kidneys), aniridia (absence of the coloured part of the eye, the iris), genitourinary anomalies, and mental retardation.  The ""G"" is sometimes instead given as ""gonadoblastoma"", since the genitourinary anomalies can include tumours of the gonads (testes or ovaries).
Some WAGR syndrome patients show severe childhood obesity and hyperphagia, and are categorised as WAGRO (adding obesity) which may be associated with the coinciding loss of brain-derived neurotrophic factor (BDNF) a gene that is also on chromosome 11."
Weill–Marchesani syndrome,"Weill–Marchesani syndrome is a rare genetic disorder characterized by short stature; an unusually short, broad head (brachycephaly) and other facial abnormalities; hand defects, including unusually short fingers (brachydactyly); and distinctive eye (ocular) abnormalities. It was named after ophthalmologists Georges Weill (1866–1952) and Oswald Marchesani (1900–1952) who first described it in 1932 and 1939, respectively.
The eye manifestations typically include unusually small, round lenses of the eyes (microspherophakia), which may be prone to dislocating (ectopia lentis), as well as other ocular defects."
Wolf–Hirschhorn syndrome,"Wolf–Hirschhorn syndrome (WHS) is a chromosomal deletion syndrome resulting from a partial deletion on the short arm of chromosome 4 [del(4)(p16.3)]. Features include a distinct craniofacial phenotype and intellectual disability.


== Signs and symptoms ==
The most common characteristics include a distinct craniofacial phenotype (microcephaly, micrognathia, short philtrum, prominent glabella, ocular hypertelorism, dysplastic ears and periauricular tags), growth restriction, intellectual disability, muscle hypotonia, seizures, and congenital heart defects."
Zellweger syndrome,"Zellweger syndrome is a rare congenital disorder characterized by the reduction or absence of functional peroxisomes in the cells of an individual. It is one of a family of disorders called Zellweger spectrum disorders which are leukodystrophies. Zellweger syndrome is named after Hans Zellweger (1909–1990), a Swiss-American pediatrician, a professor of pediatrics and genetics at the University of Iowa who researched this disorder."
Aarskog–Scott syndrome,"Aarskog–Scott syndrome (AAS) is a rare disease inherited as X-linked and characterized by short stature, facial abnormalities, skeletal and genital anomalies. This condition mainly affects males, although females may have mild features of the syndrome.


== Signs and symptoms ==
People with Aarskog–Scott syndrome often have distinctive facial features, such as widely spaced eyes (hypertelorism), a small nose, a long area between the nose and mouth (philtrum), and a widow's peak hairline."
Alström syndrome,"Alström syndrome (AS), also called Alström–Hallgren syndrome, is a very rare autosomal recessive genetic disorder characterised by childhood obesity and multiple organ dysfunction. Symptoms include early-onset type 2 diabetes, cone-rod dystrophy resulting in blindness, sensorineural hearing loss and dilated cardiomyopathy. Endocrine disorders typically also occur, such as hypergonadotrophic hypogonadism and hypothyroidism, as well as acanthosis nigricans resulting from hyperinsulinemia."
Barth syndrome,"Barth syndrome (BTHS) is a rare but serious X-linked genetic disorder, caused by changes in phospholipid structure and metabolism. It may affect multiple body systems (though mainly characterized by pronounced pediatric-onset cardiomyopathy), and is potentially fatal. The syndrome is diagnosed almost exclusively in males."
Bloom syndrome,"Bloom syndrome (often abbreviated as BS in literature) is a rare autosomal recessive genetic disorder characterized by short stature, predisposition to the development of cancer, and genomic instability. BS is caused by mutations in the BLM gene which is a member of the RecQ DNA helicase family. Mutations in genes encoding other members of this family, namely WRN and RECQL4, are associated with the clinical entities Werner syndrome and Rothmund–Thomson syndrome, respectively."
Chediak–Higashi syndrome,"Chédiak–Higashi syndrome (CHS) is a rare autosomal recessive disorder that arises from a mutation of a lysosomal trafficking regulator protein, which leads to a decrease in phagocytosis. The decrease in phagocytosis results in recurrent pyogenic infections, albinism, and peripheral neuropathy.
In Chédiak–Higashi syndrome, the lysosomal trafficking regulator (LYST) gene is mutated, leading to disruption of protein synthesis as well as the storage and secretory function of lysosomal granules in white blood cells."
Cockayne syndrome,"Cockayne syndrome (CS), also called Neill-Dingwall syndrome, is a rare and fatal autosomal recessive neurodegenerative disorder characterized by growth failure, impaired development of the nervous system, abnormal sensitivity to sunlight (photosensitivity), eye disorders and premature aging. Failure to thrive and neurological disorders are criteria for diagnosis, while photosensitivity, hearing loss, eye abnormalities, and cavities are other very common features.  Problems with any or all of the internal organs are possible."
Costello syndrome,"Costello syndrome, also called faciocutaneoskeletal syndrome or FCS syndrome, is a rare genetic disorder that affects many parts of the body. It is characterized by delayed development and intellectual disabilities, distinctive facial features, unusually flexible joints, and loose folds of extra skin, especially on the hands and feet.: 571  Heart abnormalities are common, including a very fast heartbeat (tachycardia), structural heart defects, and overgrowth of the heart muscle (hypertrophic cardiomyopathy). Infants with Costello syndrome may be large at birth, but grow more slowly than other children and have difficulty feeding."
Cowden syndrome,"Cowden syndrome (also known as Cowden's disease) is an autosomal dominant inherited condition characterized by benign overgrowths called hamartomas as well as an increased lifetime risk of breast, thyroid, uterine, and other cancers. It is also known as  multiple hamartoma syndrome, a name shared by a more general syndrome of the same name. It is often underdiagnosed due to variability in disease presentation, but 99% of patients report mucocutaneous symptoms by age 20–29."
